        TP_MAC,TP_TEI,TP_PTEI,TP_ROLE,TP_TIER,TP_READSUCCESS
660000000055,1,0,2,1,99
122222222222,2,1,4,2,99
663333333355,3,1,4,2,99
124444444422,4,1,4,2,99
125555555522,5,1,4,2,99
666666666655,6,4,4,3,99
666666666655,7,6,4,4,99
666666666655,8,6,4,5,99
666666666655,9,6,4,6,99
666666666655,10,6,4,7,99
666666666655,11,6,4,8,99
